;parameters;modelo;auc_tr;accuracy_tr;precision_tr;recall_tr;f1_tr;Matriz_tr;auc_te;accuracy_te;precision_te;recall_te;f1_te;Matriz_te;auc_dif
74;{'n_estimators': 114, 'max_depth': 11, 'learning_rate': 0,29451020408163264};XGBoost;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";91,86%;76,37%;77,55%;74,23%;74,74%;"[[65  3  5  0]
 [ 4 41 12  3]
 [ 4  3 51  2]
 [ 3  6 11 24]]";8,14%
63;{'n_estimators': 79, 'max_depth': 8, 'min_data_in_leaf': 1, 'learning_rate': 0,1966734693877551};Lighgbm;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";91,86%;75,53%;76,94%;72,94%;73,32%;"[[65  3  4  1]
 [ 6 42 11  1]
 [ 3  4 51  2]
 [ 2  8 13 21]]";8,14%
77;{'n_estimators': 165, 'max_depth': 15, 'learning_rate': 0,6532448979591837};XGBoost;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";91,87%;75,53%;75,48%;73,47%;73,88%;"[[64  3  5  1]
 [ 4 44 10  2]
 [ 4  4 47  5]
 [ 3  6 11 24]]";8,13%
254;{'n_estimators': 192, 'max_depth': 3, 'learning_rate': 0,441265306122449};XGBoost;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";91,88%;73,84%;74,29%;71,58%;71,97%;"[[63  5  4  1]
 [ 5 42 10  3]
 [ 4  6 48  2]
 [ 1 11 10 22]]";8,12%
149;{'n_estimators': 56, 'max_depth': 13, 'learning_rate': 0,5064897959183674};XGBoost;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";91,88%;76,37%;76,63%;74,46%;74,84%;"[[64  3  5  1]
 [ 4 42 10  4]
 [ 4  3 50  3]
 [ 4  4 11 25]]";8,12%
11;{'n_estimators': 122, 'max_depth': 11, 'learning_rate': 0,29451020408163264};XGBoost;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";91,89%;76,79%;77,86%;74,65%;75,15%;"[[65  3  5  0]
 [ 4 42 11  3]
 [ 4  3 51  2]
 [ 3  6 11 24]]";8,11%
191;{'n_estimators': 188, 'max_depth': 5, 'learning_rate': 0,522795918367347};XGBoost;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";91,89%;73,84%;74,51%;71,58%;71,96%;"[[63  4  5  1]
 [ 5 41 12  2]
 [ 3  5 49  3]
 [ 3  8 11 22]]";8,11%
36;{'n_estimators': 68, 'max_depth': 16, 'min_data_in_leaf': 395, 'learning_rate': 0,4575714285714286};Lighgbm;99,53%;94,92%;94,78%;94,24%;94,46%;"[[284   1   2   2]
 [  3 227   6   4]
 [  1   4 232   3]
 [  4   7  11 153]]";91,45%;74,68%;74,52%;72,26%;72,43%;"[[65  4  4  0]
 [ 4 38 12  6]
 [ 2  5 52  1]
 [ 1 12  9 22]]";8,09%
143;{'n_estimators': 176, 'max_depth': 14, 'learning_rate': 0,1966734693877551};XGBoost;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";91,93%;75,53%;76,29%;73,17%;73,58%;"[[64  4  4  1]
 [ 4 44 11  1]
 [ 4  4 49  3]
 [ 3  9 10 22]]";8,07%
80;{'n_estimators': 122, 'max_depth': 8, 'learning_rate': 0,3434285714285714};XGBoost;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";91,95%;75,11%;75,90%;72,75%;73,10%;"[[64  3  5  1]
 [ 5 41 12  2]
 [ 4  2 51  3]
 [ 4  7 11 22]]";8,05%
111;{'n_estimators': 157, 'max_depth': 11, 'min_data_in_leaf': 414, 'learning_rate': 0,5064897959183674};Lighgbm;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";91,96%;75,95%;76,14%;73,81%;74,16%;"[[65  4  4  0]
 [ 5 40 11  4]
 [ 2  5 51  2]
 [ 2 10  8 24]]";8,04%
296;{'n_estimators': 157, 'max_depth': 9, 'learning_rate': 0,8};XGBoost;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";91,96%;75,11%;74,57%;73,43%;73,66%;"[[61  5  5  2]
 [ 4 44  8  4]
 [ 4  4 48  4]
 [ 2  7 10 25]]";8,04%
167;{'n_estimators': 106, 'max_depth': 17, 'learning_rate': 0,2455918367346939};XGBoost;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";91,96%;74,26%;74,72%;72,07%;72,40%;"[[64  3  5  1]
 [ 5 39 12  4]
 [ 4  4 50  2]
 [ 2  7 12 23]]";8,04%
104;{'n_estimators': 161, 'max_depth': 12, 'learning_rate': 0,359734693877551};XGBoost;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";91,97%;75,11%;76,18%;72,83%;73,30%;"[[65  3  5  0]
 [ 5 40 12  3]
 [ 4  4 50  2]
 [ 3  7 11 23]]";8,03%
128;{'n_estimators': 165, 'max_depth': 6, 'learning_rate': 0,3923469387755102};XGBoost;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";91,97%;77,22%;78,19%;74,69%;75,11%;"[[66  4  3  0]
 [ 3 45 10  2]
 [ 4  4 50  2]
 [ 2  9 11 22]]";8,03%
171;{'n_estimators': 114, 'max_depth': 17, 'min_data_in_leaf': 193, 'learning_rate': 0,8};Lighgbm;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";91,98%;75,53%;76,40%;73,32%;73,77%;"[[64  3  5  1]
 [ 6 42 11  1]
 [ 2  5 50  3]
 [ 2  9 10 23]]";8,02%
132;{'n_estimators': 134, 'max_depth': 7, 'min_data_in_leaf': 443, 'learning_rate': 0,4249591836734694};Lighgbm;99,95%;98,83%;98,81%;98,58%;98,69%;"[[289   0   0   0]
 [  1 237   0   2]
 [  0   1 239   0]
 [  1   2   4 168]]";91,95%;75,95%;75,36%;74,04%;74,29%;"[[66  3  4  0]
 [ 5 40 11  4]
 [ 2  4 48  6]
 [ 2  6 10 26]]";8,00%
273;{'n_estimators': 149, 'max_depth': 9, 'min_data_in_leaf': 404, 'learning_rate': 0,1966734693877551};Lighgbm;99,41%;93,64%;93,63%;92,73%;93,07%;"[[283   1   2   3]
 [  3 226   8   3]
 [  3   6 229   2]
 [  4  12  13 146]]";91,42%;75,53%;76,20%;73,25%;73,60%;"[[65  4  4  0]
 [ 5 39 12  4]
 [ 2  5 52  1]
 [ 1 11  9 23]]";7,98%
221;{'n_estimators': 188, 'max_depth': 14, 'learning_rate': 0,7510816326530613};XGBoost;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";92,02%;77,22%;77,47%;75,44%;75,81%;"[[64  3  5  1]
 [ 4 42 11  3]
 [ 3  3 51  3]
 [ 4  6  8 26]]";7,98%
218;{'n_estimators': 110, 'max_depth': 5, 'learning_rate': 0,1803673469387755};XGBoost;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";92,02%;75,53%;75,96%;73,40%;73,91%;"[[65  4  4  0]
 [ 5 43 10  2]
 [ 4  5 47  4]
 [ 3  6 11 24]]";7,98%
68;{'n_estimators': 114, 'max_depth': 19, 'learning_rate': 0,441265306122449};XGBoost;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";92,02%;77,64%;78,27%;75,41%;75,89%;"[[66  3  4  0]
 [ 5 44  8  3]
 [ 4  4 50  2]
 [ 3  6 11 24]]";7,98%
247;{'n_estimators': 130, 'max_depth': 18, 'min_samples_leaf': 20, 'criterion': 'entropy'};RandomForest;97,87%;82,31%;84,34%;79,82%;80,21%;"[[265  10  12   2]
 [ 15 190  31   4]
 [  1   9 230   0]
 [  6  32  45  92]]";89,90%;72,57%;74,17%;69,72%;69,72%;"[[65  3  5  0]
 [ 5 34 17  4]
 [ 1  5 54  0]
 [ 2 12 11 19]]";7,98%
110;{'n_estimators': 165, 'max_depth': 10, 'learning_rate': 0,6858571428571428};XGBoost;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";92,03%;73,84%;72,93%;71,65%;71,85%;"[[64  3  5  1]
 [ 4 41  9  6]
 [ 4  5 47  4]
 [ 2  7 12 23]]";7,97%
65;{'n_estimators': 137, 'max_depth': 11, 'learning_rate': 0,1966734693877551};XGBoost;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";92,03%;73,84%;74,39%;71,35%;71,67%;"[[64  4  4  1]
 [ 5 41 12  2]
 [ 4  4 49  3]
 [ 3  8 12 21]]";7,97%
86;{'n_estimators': 149, 'max_depth': 7, 'learning_rate': 0,359734693877551};XGBoost;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";92,03%;75,11%;74,90%;72,90%;73,20%;"[[64  3  5  1]
 [ 4 42 10  4]
 [ 3  5 49  3]
 [ 2  8 11 23]]";7,97%
123;{'n_estimators': 48, 'max_depth': 7, 'min_data_in_leaf': 106, 'learning_rate': 0,6532448979591837};Lighgbm;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";92,03%;78,48%;79,12%;76,62%;77,12%;"[[65  4  4  0]
 [ 5 44  9  2]
 [ 3  3 51  3]
 [ 1  7 10 26]]";7,97%
29;{'n_estimators': 157, 'max_depth': 19, 'learning_rate': 0,5717142857142857};XGBoost;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";92,04%;74,26%;74,15%;72,07%;72,36%;"[[64  4  5  0]
 [ 4 40 12  4]
 [ 3  4 49  4]
 [ 3  8 10 23]]";7,96%
250;{'n_estimators': 192, 'max_depth': 4, 'min_samples_leaf': 1, 'criterion': 'entropy'};RandomForest;96,62%;79,56%;83,29%;76,94%;77,42%;"[[259  10  17   3]
 [  5 175  57   3]
 [  1   7 232   0]
 [  4  27  59  85]]";88,69%;71,73%;73,82%;68,51%;68,13%;"[[64  3  6  0]
 [ 3 34 19  4]
 [ 1  3 56  0]
 [ 1 14 13 16]]";7,94%
81;{'n_estimators': 56, 'max_depth': 16, 'min_data_in_leaf': 327, 'learning_rate': 0,4086530612244898};Lighgbm;99,46%;94,92%;94,81%;94,35%;94,53%;"[[284   1   1   3]
 [  2 224  11   3]
 [  1   5 232   2]
 [  1   7  11 156]]";91,53%;74,68%;74,61%;72,64%;72,85%;"[[64  5  4  0]
 [ 6 37 11  6]
 [ 2  5 52  1]
 [ 1 10  9 24]]";7,93%
222;{'n_estimators': 79, 'max_depth': 9, 'min_data_in_leaf': 49, 'learning_rate': 0,6532448979591837};Lighgbm;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";92,07%;77,22%;78,29%;75,06%;75,53%;"[[65  3  5  0]
 [ 3 42 11  4]
 [ 3  4 52  1]
 [ 2  6 12 24]]";7,93%
27;{'n_estimators': 126, 'max_depth': 2, 'min_data_in_leaf': 289, 'learning_rate': 0,14775510204081632};Lighgbm;99,86%;97,99%;98,01%;97,65%;97,80%;"[[288   0   1   0]
 [  1 233   4   2]
 [  0   1 239   0]
 [  1   3   6 165]]";91,94%;73,84%;73,71%;71,43%;71,70%;"[[65  3  5  0]
 [ 4 39 12  5]
 [ 2  6 49  3]
 [ 1  9 12 22]]";7,92%
297;{'n_estimators': 21, 'max_depth': 10, 'min_data_in_leaf': 68, 'learning_rate': 0,3923469387755102};Lighgbm;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";92,09%;73,84%;75,58%;71,42%;71,88%;"[[63  5  5  0]
 [ 6 41 11  2]
 [ 3  5 50  2]
 [ 2  7 14 21]]";7,91%
216;{'n_estimators': 172, 'max_depth': 1, 'min_data_in_leaf': 318, 'learning_rate': 0,7021632653061225};Lighgbm;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";92,09%;77,22%;77,84%;75,29%;75,80%;"[[64  7  2  0]
 [ 4 44  8  4]
 [ 3  6 50  1]
 [ 1  9  9 25]]";7,91%
170;{'n_estimators': 122, 'max_depth': 15, 'learning_rate': 0,522795918367347};XGBoost;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";92,11%;73,84%;73,49%;71,73%;72,00%;"[[63  4  5  1]
 [ 5 41 10  4]
 [ 4  4 48  4]
 [ 3  7 11 23]]";7,89%
258;{'n_estimators': 56, 'max_depth': 20, 'min_data_in_leaf': 347, 'learning_rate': 0,522795918367347};Lighgbm;99,60%;96,08%;96,01%;95,60%;95,77%;"[[285   1   1   2]
 [  2 229   5   4]
 [  1   5 234   0]
 [  1   4  11 159]]";91,70%;74,68%;73,82%;72,64%;72,76%;"[[66  5  2  0]
 [ 6 36 12  6]
 [ 2  5 50  3]
 [ 2  9  8 25]]";7,89%
21;{'n_estimators': 176, 'max_depth': 6, 'min_data_in_leaf': 183, 'learning_rate': 0,604326530612245};Lighgbm;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";92,11%;75,95%;77,30%;73,81%;74,33%;"[[63  4  5  1]
 [ 5 44 10  1]
 [ 2  6 50  2]
 [ 2  9 10 23]]";7,89%
155;{'n_estimators': 103, 'max_depth': 7, 'learning_rate': 0,37604081632653064};XGBoost;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";92,12%;73,42%;72,46%;70,70%;70,68%;"[[63  4  5  1]
 [ 4 43  9  4]
 [ 3  4 49  4]
 [ 2 12 11 19]]";7,88%
234;{'n_estimators': 168, 'max_depth': 8, 'min_data_in_leaf': 443, 'learning_rate': 0,3923469387755102};Lighgbm;99,99%;99,26%;99,25%;99,04%;99,14%;"[[289   0   0   0]
 [  0 239   0   1]
 [  0   0 240   0]
 [  1   2   3 169]]";92,13%;75,53%;75,41%;73,55%;73,88%;"[[65  4  4  0]
 [ 5 40 12  3]
 [ 2  4 49  5]
 [ 2  7 10 25]]";7,85%
53;{'n_estimators': 141, 'max_depth': 16, 'learning_rate': 0,1966734693877551};XGBoost;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";92,15%;73,42%;73,78%;71,08%;71,40%;"[[64  3  5  1]
 [ 5 39 12  4]
 [ 4  5 49  2]
 [ 3  7 12 22]]";7,85%
240;{'n_estimators': 33, 'max_depth': 4, 'min_data_in_leaf': 116, 'learning_rate': 0,7673877551020408};Lighgbm;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";92,16%;75,53%;75,38%;73,17%;73,45%;"[[66  5  2  0]
 [ 4 40 11  5]
 [ 4  4 50  2]
 [ 1  8 12 23]]";7,84%
294;{'n_estimators': 196, 'max_depth': 12, 'min_data_in_leaf': 222, 'learning_rate': 0,4575714285714286};Lighgbm;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";92,17%;75,53%;75,40%;73,09%;73,38%;"[[65  3  4  1]
 [ 4 43 10  3]
 [ 3  5 49  3]
 [ 1 10 11 22]]";7,83%
42;{'n_estimators': 72, 'max_depth': 9, 'min_data_in_leaf': 125, 'learning_rate': 0,11514285714285714};Lighgbm;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";92,18%;74,26%;74,81%;72,07%;72,49%;"[[64  4  5  0]
 [ 6 40 11  3]
 [ 3  5 49  3]
 [ 1  9 11 23]]";7,82%
45;{'n_estimators': 114, 'max_depth': 9, 'min_data_in_leaf': 77, 'learning_rate': 0,4575714285714286};Lighgbm;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";92,18%;75,95%;76,50%;73,81%;74,25%;"[[65  3  5  0]
 [ 5 41 11  3]
 [ 3  4 50  3]
 [ 1  8 11 24]]";7,82%
270;{'n_estimators': 103, 'max_depth': 8, 'min_data_in_leaf': 39, 'learning_rate': 0,06622448979591837};Lighgbm;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";92,19%;75,95%;77,36%;73,44%;73,89%;"[[66  2  5  0]
 [ 6 41 11  2]
 [ 3  4 51  2]
 [ 2  8 12 22]]";7,81%
185;{'n_estimators': 122, 'max_depth': 19, 'learning_rate': 0,4901836734693878};XGBoost;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";92,19%;75,11%;75,80%;73,05%;73,48%;"[[64  3  5  1]
 [ 5 40 12  3]
 [ 4  4 50  2]
 [ 3  7 10 24]]";7,81%
213;{'n_estimators': 83, 'max_depth': 4, 'min_data_in_leaf': 87, 'learning_rate': 0,14775510204081632};Lighgbm;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";92,20%;76,79%;78,46%;74,27%;74,68%;"[[66  2  5  0]
 [ 5 41 12  2]
 [ 3  2 53  2]
 [ 1  8 13 22]]";7,80%
204;{'n_estimators': 99, 'max_depth': 4, 'min_data_in_leaf': 87, 'learning_rate': 0,4086530612244898};Lighgbm;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";92,21%;73,84%;74,51%;71,35%;71,69%;"[[64  4  4  1]
 [ 6 41 11  2]
 [ 3  5 49  3]
 [ 3  6 14 21]]";7,79%
