;parameters;modelo;auc_tr;accuracy_tr;precision_tr;recall_tr;f1_tr;Matriz_tr;auc_te;accuracy_te;precision_te;recall_te;f1_te;Matriz_te;auc_dif
140;{'n_estimators': 52, 'max_depth': 19, 'learning_rate': 0,7673877551020408};XGBoost;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";90,49%;71,31%;69,29%;68,02%;67,44%;"[[65  4  3  1]
 [ 8 36 11  5]
 [ 2  2 52  4]
 [ 4 12 12 16]]";9,51%
231;{'n_estimators': 56, 'max_depth': 16, 'min_data_in_leaf': 212, 'learning_rate': 0,4575714285714286};Lighgbm;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";90,48%;71,31%;69,67%;67,94%;67,40%;"[[66  3  4  0]
 [ 8 35 12  5]
 [ 0  4 52  4]
 [ 2 13 13 16]]";9,52%
104;{'n_estimators': 161, 'max_depth': 12, 'learning_rate': 0,359734693877551};XGBoost;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";91,09%;71,73%;71,41%;68,21%;67,38%;"[[66  3  3  1]
 [10 34 12  4]
 [ 2  2 55  1]
 [ 6 10 13 15]]";8,91%
177;{'n_estimators': 110, 'max_depth': 10, 'min_data_in_leaf': 164, 'learning_rate': 0,718469387755102};Lighgbm;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";89,25%;71,31%;68,58%;67,94%;67,36%;"[[66  4  2  1]
 [ 8 36 10  6]
 [ 2  2 51  5]
 [ 4 12 12 16]]";10,75%
108;{'n_estimators': 99, 'max_depth': 4, 'min_data_in_leaf': 20, 'learning_rate': 0,5391020408163265};Lighgbm;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";90,44%;70,89%;69,37%;67,83%;67,31%;"[[64  5  4  0]
 [ 8 34 11  7]
 [ 2  3 53  2]
 [ 4 12 11 17]]";9,56%
255;{'n_estimators': 91, 'max_depth': 2, 'min_data_in_leaf': 404, 'learning_rate': 0,31081632653061225};Lighgbm;99,69%;95,02%;95,15%;94,28%;94,59%;"[[283   0   4   2]
 [  7 223   7   3]
 [  0   0 240   0]
 [  2  11  11 151]]";89,78%;70,46%;67,78%;67,64%;67,27%;"[[65  3  3  2]
 [ 8 34 10  8]
 [ 3  1 49  7]
 [ 3 12 10 19]]";9,91%
17;{'n_estimators': 110, 'max_depth': 3, 'learning_rate': 0,14775510204081632};XGBoost;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";90,05%;70,89%;71,33%;67,75%;67,25%;"[[65  4  4  0]
 [ 9 32 15  4]
 [ 2  2 54  2]
 [ 4  9 14 17]]";9,95%
84;{'n_estimators': 188, 'max_depth': 10, 'min_data_in_leaf': 193, 'learning_rate': 0,3923469387755102};Lighgbm;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";90,29%;70,04%;67,44%;67,37%;67,20%;"[[65  4  2  2]
 [ 9 35  9  7]
 [ 1  5 46  8]
 [ 2 11 11 20]]";9,71%
77;{'n_estimators': 165, 'max_depth': 15, 'learning_rate': 0,6532448979591837};XGBoost;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";90,90%;70,89%;69,77%;67,68%;67,19%;"[[64  4  4  1]
 [ 8 36 11  5]
 [ 2  4 52  2]
 [ 3 12 13 16]]";9,10%
264;{'n_estimators': 157, 'max_depth': 9, 'min_data_in_leaf': 231, 'learning_rate': 0,2129795918367347};Lighgbm;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";90,49%;70,46%;68,16%;67,49%;67,17%;"[[65  3  4  1]
 [ 9 35 10  6]
 [ 1  4 49  6]
 [ 2 12 12 18]]";9,51%
71;{'n_estimators': 48, 'max_depth': 14, 'learning_rate': 0,13144897959183674};XGBoost;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";89,67%;71,31%;71,50%;68,02%;67,15%;"[[65  6  2  0]
 [10 31 14  5]
 [ 2  1 57  0]
 [ 4 11 13 16]]";10,33%
285;{'n_estimators': 184, 'max_depth': 16, 'min_data_in_leaf': 395, 'learning_rate': 0,7347755102040816};Lighgbm;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";89,59%;70,46%;67,41%;67,41%;67,08%;"[[66  3  4  0]
 [ 6 35 11  8]
 [ 2  2 48  8]
 [ 4 16  6 18]]";10,41%
294;{'n_estimators': 196, 'max_depth': 12, 'min_data_in_leaf': 222, 'learning_rate': 0,4575714285714286};Lighgbm;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";90,50%;70,46%;68,47%;67,41%;67,05%;"[[64  5  4  0]
 [ 9 36 10  5]
 [ 1  3 50  6]
 [ 2 13 12 17]]";9,50%
147;{'n_estimators': 56, 'max_depth': 11, 'min_data_in_leaf': 443, 'learning_rate': 0,3923469387755102};Lighgbm;98,90%;91,74%;91,92%;90,68%;91,04%;"[[278   4   5   2]
 [  7 213  15   5]
 [  1   1 236   2]
 [  2  15  19 139]]";88,65%;70,04%;67,79%;67,30%;67,05%;"[[64  4  4  1]
 [ 9 35 11  5]
 [ 2  1 48  9]
 [ 2 12 11 19]]";10,25%
23;{'n_estimators': 83, 'max_depth': 6, 'learning_rate': 0,6206326530612245};XGBoost;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";89,73%;71,73%;69,93%;68,06%;67,03%;"[[66  3  3  1]
 [ 8 35 12  5]
 [ 2  1 55  2]
 [ 4 13 13 14]]";10,27%
128;{'n_estimators': 165, 'max_depth': 6, 'learning_rate': 0,3923469387755102};XGBoost;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";90,17%;71,31%;69,57%;67,79%;67,03%;"[[66  3  3  1]
 [ 8 35 12  5]
 [ 2  2 53  3]
 [ 4 11 14 15]]";9,83%
2;{'n_estimators': 118, 'max_depth': 4, 'learning_rate': 0,5064897959183674};XGBoost;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";90,34%;70,46%;70,86%;67,34%;66,97%;"[[65  4  4  0]
 [11 33 12  4]
 [ 3  3 52  2]
 [ 5  8 14 17]]";9,66%
116;{'n_estimators': 91, 'max_depth': 9, 'learning_rate': 0,3434285714285714};XGBoost;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";90,77%;70,89%;69,89%;67,45%;66,89%;"[[65  5  2  1]
 [ 7 37 12  4]
 [ 3  4 51  2]
 [ 6 11 12 15]]";9,23%
239;{'n_estimators': 165, 'max_depth': 10, 'learning_rate': 0,5391020408163265};XGBoost;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";89,95%;71,31%;69,33%;67,72%;66,89%;"[[67  2  3  1]
 [ 8 34 13  5]
 [ 2  2 53  3]
 [ 4 13 12 15]]";10,05%
118;{'n_estimators': 184, 'max_depth': 18, 'min_samples_leaf': 1, 'criterion': 'gini'};RandomForest;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";89,33%;70,46%;72,49%;67,41%;66,89%;"[[64  4  5  0]
 [ 7 30 19  4]
 [ 2  2 56  0]
 [ 3 10 14 17]]";10,67%
5;{'n_estimators': 157, 'max_depth': 8, 'learning_rate': 0,37604081632653064};XGBoost;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";90,15%;70,46%;70,44%;67,34%;66,87%;"[[65  5  3  0]
 [10 32 14  4]
 [ 2  3 53  2]
 [ 3 11 13 17]]";9,85%
156;{'n_estimators': 64, 'max_depth': 6, 'min_data_in_leaf': 231, 'learning_rate': 0,2129795918367347};Lighgbm;99,99%;99,47%;99,50%;99,36%;99,43%;"[[289   0   0   0]
 [  1 238   1   0]
 [  0   0 240   0]
 [  0   3   0 172]]";90,49%;70,04%;68,18%;67,15%;66,87%;"[[64  3  4  2]
 [ 8 35 12  5]
 [ 1  4 49  6]
 [ 2 10 14 18]]";9,50%
131;{'n_estimators': 41, 'max_depth': 8, 'learning_rate': 0,4738775510204082};XGBoost;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";90,18%;71,73%;70,98%;68,05%;66,83%;"[[64  4  4  1]
 [ 7 36 12  5]
 [ 2  1 57  0]
 [ 5 12 14 13]]";9,82%
93;{'n_estimators': 103, 'max_depth': 8, 'min_data_in_leaf': 443, 'learning_rate': 0,2618979591836735};Lighgbm;99,37%;93,43%;93,74%;92,41%;92,83%;"[[281   2   5   1]
 [  7 221   9   3]
 [  1   0 238   1]
 [  3  13  17 142]]";89,32%;70,04%;68,11%;67,22%;66,81%;"[[65  4  4  0]
 [ 9 32 12  7]
 [ 3  1 50  6]
 [ 2 11 12 19]]";10,05%
122;{'n_estimators': 41, 'max_depth': 12, 'learning_rate': 0,14775510204081632};XGBoost;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";89,74%;70,46%;70,76%;67,41%;66,81%;"[[64  7  2  0]
 [ 9 31 15  5]
 [ 2  2 55  1]
 [ 3  8 16 17]]";10,26%
251;{'n_estimators': 64, 'max_depth': 16, 'learning_rate': 0,2292857142857143};XGBoost;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";90,04%;70,46%;69,80%;67,41%;66,81%;"[[64  5  3  1]
 [ 7 32 14  7]
 [ 3  3 54  0]
 [ 5  8 14 17]]";9,96%
188;{'n_estimators': 192, 'max_depth': 8, 'learning_rate': 0,718469387755102};XGBoost;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";90,63%;71,31%;69,15%;67,57%;66,80%;"[[67  2  3  1]
 [ 6 37 12  5]
 [ 2  4 51  3]
 [ 3 13 14 14]]";9,37%
263;{'n_estimators': 122, 'max_depth': 7, 'learning_rate': 0,06622448979591837};XGBoost;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";90,22%;70,46%;71,66%;67,41%;66,79%;"[[62  6  4  1]
 [ 7 33 16  4]
 [ 2  2 56  0]
 [ 5  8 15 16]]";9,78%
212;{'n_estimators': 17, 'max_depth': 10, 'learning_rate': 0,5064897959183674};XGBoost;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";89,52%;71,31%;70,86%;67,79%;66,79%;"[[64  5  3  1]
 [ 8 35 12  5]
 [ 2  2 56  0]
 [ 5 10 15 14]]";10,48%
176;{'n_estimators': 165, 'max_depth': 15, 'learning_rate': 0,1966734693877551};XGBoost;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";90,24%;70,46%;70,61%;67,41%;66,79%;"[[64  6  3  0]
 [10 31 14  5]
 [ 2  2 55  1]
 [ 4  9 14 17]]";9,76%
275;{'n_estimators': 60, 'max_depth': 4, 'learning_rate': 0,2455918367346939};XGBoost;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";89,75%;70,89%;71,34%;67,52%;66,79%;"[[64  5  4  0]
 [ 9 34 13  4]
 [ 2  2 55  1]
 [ 4 11 14 15]]";10,25%
257;{'n_estimators': 145, 'max_depth': 18, 'learning_rate': 0,4575714285714286};XGBoost;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";90,70%;70,46%;69,11%;67,26%;66,78%;"[[66  3  3  1]
 [11 33 12  4]
 [ 2  3 51  4]
 [ 3 11 13 17]]";9,30%
200;{'n_estimators': 48, 'max_depth': 8, 'learning_rate': 0,11514285714285714};XGBoost;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";89,93%;70,89%;71,53%;67,60%;66,71%;"[[63  6  3  1]
 [ 9 33 14  4]
 [ 2  1 57  0]
 [ 5  9 15 15]]";10,07%
146;{'n_estimators': 68, 'max_depth': 10, 'learning_rate': 0,32712244897959186};XGBoost;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";90,67%;71,31%;69,96%;67,64%;66,70%;"[[66  3  3  1]
 [ 9 35 12  4]
 [ 1  3 54  2]
 [ 4 13 13 14]]";9,33%
287;{'n_estimators': 99, 'max_depth': 4, 'learning_rate': 0,3434285714285714};XGBoost;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";90,26%;70,89%;68,81%;67,45%;66,68%;"[[65  3  3  2]
 [ 7 35 13  5]
 [ 2  1 53  4]
 [ 5 10 14 15]]";9,74%
229;{'n_estimators': 165, 'max_depth': 18, 'min_samples_leaf': 1, 'criterion': 'gini'};RandomForest;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";89,29%;70,46%;72,56%;67,26%;66,67%;"[[64  4  5  0]
 [ 6 31 19  4]
 [ 2  2 56  0]
 [ 3 10 15 16]]";10,71%
273;{'n_estimators': 149, 'max_depth': 9, 'min_data_in_leaf': 404, 'learning_rate': 0,1966734693877551};Lighgbm;99,72%;95,02%;95,23%;94,28%;94,64%;"[[285   0   3   1]
 [  8 222   8   2]
 [  1   0 238   1]
 [  3  11   9 152]]";89,45%;69,62%;67,13%;66,96%;66,65%;"[[65  3  3  2]
 [ 9 33 11  7]
 [ 2  1 47 10]
 [ 3 11 10 20]]";10,27%
209;{'n_estimators': 41, 'max_depth': 19, 'learning_rate': 0,5064897959183674};XGBoost;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";90,04%;70,89%;69,20%;67,45%;66,61%;"[[65  4  3  1]
 [ 8 34 13  5]
 [ 2  1 54  3]
 [ 5 11 13 15]]";9,96%
41;{'n_estimators': 103, 'max_depth': 4, 'learning_rate': 0,5064897959183674};XGBoost;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";90,34%;70,04%;69,98%;66,92%;66,56%;"[[65  4  4  0]
 [11 33 12  4]
 [ 3  3 51  3]
 [ 5  8 14 17]]";9,66%
254;{'n_estimators': 192, 'max_depth': 3, 'learning_rate': 0,441265306122449};XGBoost;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";90,21%;70,46%;68,29%;67,18%;66,56%;"[[65  5  3  0]
 [10 34 10  6]
 [ 2  2 52  4]
 [ 4 13 11 16]]";9,79%
57;{'n_estimators': 184, 'max_depth': 7, 'min_data_in_leaf': 337, 'learning_rate': 0,4575714285714286};Lighgbm;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";89,75%;69,62%;66,98%;66,73%;66,55%;"[[64  4  4  1]
 [ 6 37 11  6]
 [ 1  3 46 10]
 [ 2 13 11 18]]";10,25%
249;{'n_estimators': 168, 'max_depth': 5, 'min_data_in_leaf': 97, 'learning_rate': 0,4575714285714286};Lighgbm;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";89,78%;70,46%;68,30%;67,11%;66,54%;"[[64  5  4  0]
 [ 7 38  8  7]
 [ 3  4 50  3]
 [ 5 11 13 15]]";10,22%
171;{'n_estimators': 114, 'max_depth': 17, 'min_data_in_leaf': 193, 'learning_rate': 0,8};Lighgbm;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";90,57%;70,04%;67,26%;66,92%;66,49%;"[[65  4  3  1]
 [ 7 35 10  8]
 [ 3  3 49  5]
 [ 4 12 11 17]]";9,43%
86;{'n_estimators': 149, 'max_depth': 7, 'learning_rate': 0,359734693877551};XGBoost;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";90,45%;70,46%;68,74%;67,03%;66,48%;"[[65  5  3  0]
 [ 7 37 12  4]
 [ 3  2 50  5]
 [ 4 12 13 15]]";9,55%
98;{'n_estimators': 161, 'max_depth': 9, 'learning_rate': 0,08253061224489797};XGBoost;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";90,20%;70,46%;71,94%;67,11%;66,41%;"[[64  6  3  0]
 [ 8 33 15  4]
 [ 3  2 55  0]
 [ 4  9 16 15]]";9,80%
32;{'n_estimators': 21, 'max_depth': 8, 'learning_rate': 0,6369387755102041};XGBoost;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";88,84%;70,46%;68,78%;67,11%;66,37%;"[[66  3  3  1]
 [ 9 32 13  6]
 [ 1  4 53  2]
 [ 4 11 13 16]]";11,16%
78;{'n_estimators': 13, 'max_depth': 15, 'min_data_in_leaf': 212, 'learning_rate': 0,29451020408163264};Lighgbm;97,85%;85,91%;86,84%;84,13%;84,65%;"[[274   2   9   4]
 [ 14 190  27   9]
 [  8   1 231   0]
 [ 10  16  33 116]]";89,52%;70,04%;68,72%;67,07%;66,32%;"[[63  5  3  2]
 [10 31 13  6]
 [ 1  3 55  1]
 [ 4 10 13 17]]";8,33%
242;{'n_estimators': 29, 'max_depth': 7, 'learning_rate': 0,6369387755102041};XGBoost;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";89,43%;70,89%;68,15%;67,22%;66,29%;"[[66  4  3  0]
 [ 8 35 11  6]
 [ 1  2 53  4]
 [ 4 14 12 14]]";10,57%
113;{'n_estimators': 37, 'max_depth': 2, 'learning_rate': 0,2129795918367347};XGBoost;99,71%;94,17%;94,71%;93,45%;93,88%;"[[283   1   4   1]
 [  6 219  14   1]
 [  4   0 236   0]
 [  2   7  15 151]]";89,65%;70,46%;70,11%;67,18%;66,24%;"[[65  3  4  1]
 [12 30 13  5]
 [ 2  1 56  1]
 [ 4 10 14 16]]";10,06%
